Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
ORD-0001,2025-07-08,1072,Customer 1072,North,Haryana,Gurugram,Office Supplies,Stapler,5,171.49,0.0,857.45,30.7
ORD-0002,2025-10-21,1088,Customer 1088,South,Kerala,Thiruvananthapuram,Home Appliances,Electric Kettle,2,1618.2,0.0,3236.4,303.49
ORD-0003,2025-07-07,1170,Customer 1170,North,Haryana,Gurugram,Home Appliances,Blender,3,4412.31,0.2,10589.54,1160.82
ORD-0004,2025-03-30,1132,Customer 1132,North,Haryana,Faridabad,Office Supplies,File Folder,4,118.86,0.05,451.67,24.23
ORD-0005,2025-02-04,1008,Customer 1008,West,Goa,Panaji,Home Appliances,Air Cooler,1,9329.02,0.1,8396.12,800.19
ORD-0006,2025-08-06,1146,Customer 1146,South,Kerala,Kozhikode,Furniture,Table Lamp,4,2860.85,0.15,9726.89,1271.76
ORD-0007,2025-07-27,1213,Customer 1213,North,Punjab,Ludhiana,Home Appliances,Air Cooler,5,9442.14,0.15,40129.09,4533.71
ORD-0008,2025-10-28,1015,Customer 1015,North,Delhi,New Delhi,Home Appliances,Vacuum Cleaner,1,5156.36,0.05,4898.54,584.59
ORD-0009,2025-10-16,1163,Customer 1163,West,Maharashtra,Nagpur,Office Supplies,Pen Set,3,129.62,0.05,369.42,17.12
ORD-0010,2025-03-03,1151,Customer 1151,South,Kerala,Kozhikode,Home Appliances,Air Cooler,5,13566.46,0.1,61049.07,12259.25
ORD-0011,2025-09-12,1218,Customer 1218,North,Delhi,New Delhi,Technology,Keyboard,3,1640.92,0.05,4676.62,281.81
ORD-0012,2025-08-10,1096,Customer 1096,East,West Bengal,Kolkata,Office Supplies,Notebook,5,147.31,0.05,699.72,130.74
ORD-0013,2025-06-19,1066,Customer 1066,West,Gujarat,Surat,Home Appliances,Electric Kettle,5,1879.96,0.0,9399.8,1254.3
ORD-0014,2025-12-14,1247,Customer 1247,East,Odisha,Bhubaneswar,Home Appliances,Electric Kettle,1,1931.41,0.0,1931.41,162.13
ORD-0015,2025-05-17,1198,Customer 1198,North,Haryana,Gurugram,Home Appliances,Vacuum Cleaner,5,11924.36,0.05,56640.71,5506.1
ORD-0016,2025-02-21,1062,Customer 1062,East,West Bengal,Kolkata,Home Appliances,Blender,4,3758.91,0.05,14283.86,1467.87
ORD-0017,2025-02-23,1220,Customer 1220,North,Punjab,Ludhiana,Technology,Keyboard,5,1321.13,0.1,5945.09,958.88
ORD-0018,2025-09-12,1123,Customer 1123,West,Rajasthan,Udaipur,Furniture,Table Lamp,5,2154.3,0.1,9694.35,1481.57
ORD-0019,2025-12-15,1070,Customer 1070,East,Bihar,Patna,Technology,Laptop,3,68635.72,0.1,185316.44,7876.34
ORD-0020,2025-05-08,1052,Customer 1052,East,Bihar,Patna,Office Supplies,Stapler,2,396.44,0.1,713.59,131.28
ORD-0021,2025-12-12,1144,Customer 1144,West,Rajasthan,Udaipur,Office Supplies,Printer Paper,1,456.65,0.05,433.82,87.07
ORD-0022,2025-01-09,1247,Customer 1247,East,Bihar,Patna,Technology,Headphones,1,3225.42,0.1,2902.88,539.93
ORD-0023,2025-04-23,1075,Customer 1075,East,Jharkhand,Ranchi,Home Appliances,Blender,4,6992.77,0.1,25173.97,1449.94
ORD-0024,2025-12-04,1110,Customer 1110,North,Punjab,Ludhiana,Office Supplies,Notebook,2,266.81,0.1,480.26,34.52
ORD-0025,2025-05-15,1248,Customer 1248,East,Jharkhand,Ranchi,Technology,Headphones,3,5014.15,0.1,13538.2,841.44
ORD-0026,2025-01-27,1027,Customer 1027,West,Gujarat,Surat,Office Supplies,File Folder,2,89.01,0.1,160.22,23.37
ORD-0027,2025-02-04,1004,Customer 1004,East,Bihar,Patna,Home Appliances,Vacuum Cleaner,1,5436.04,0.2,4348.83,580.17
ORD-0028,2025-10-07,1037,Customer 1037,East,West Bengal,Kolkata,Furniture,Bookshelf,5,7425.47,0.2,29701.88,5920.51
ORD-0029,2025-09-13,1161,Customer 1161,North,Uttar Pradesh,Lucknow,Office Supplies,File Folder,3,63.73,0.1,172.07,34.53
ORD-0030,2025-05-31,1086,Customer 1086,East,Bihar,Patna,Home Appliances,Microwave,2,10541.64,0.05,20029.12,1684.7
ORD-0031,2025-06-19,1039,Customer 1039,South,Telangana,Hyderabad,Technology,Keyboard,2,2158.2,0.15,3668.94,748.21
ORD-0032,2025-05-22,1008,Customer 1008,North,Uttar Pradesh,Lucknow,Technology,Mouse,4,1641.26,0.0,6565.04,962.81
ORD-0033,2025-05-05,1190,Customer 1190,North,Punjab,Amritsar,Office Supplies,Pen Set,2,444.16,0.05,843.9,46.3
ORD-0034,2025-02-22,1008,Customer 1008,North,Delhi,New Delhi,Office Supplies,Stapler,4,191.22,0.1,688.39,50.46
ORD-0035,2025-05-24,1052,Customer 1052,West,Goa,Panaji,Home Appliances,Electric Kettle,5,3429.93,0.1,15434.68,793.95
ORD-0036,2025-04-27,1229,Customer 1229,South,Karnataka,Mysuru,Office Supplies,Stapler,1,347.2,0.0,347.2,71.89
ORD-0037,2025-09-29,1117,Customer 1117,East,West Bengal,Kolkata,Home Appliances,Blender,5,6189.48,0.1,27852.66,4270.53
ORD-0038,2025-03-27,1229,Customer 1229,East,Bihar,Patna,Home Appliances,Microwave,1,11418.8,0.0,11418.8,736.42
ORD-0039,2025-12-07,1218,Customer 1218,North,Uttar Pradesh,Noida,Furniture,Table Lamp,4,1098.36,0.05,4173.77,447.0
ORD-0040,2025-09-07,1223,Customer 1223,South,Telangana,Hyderabad,Technology,Mouse,3,1104.39,0.15,2816.19,484.52
ORD-0041,2025-12-06,1160,Customer 1160,North,Uttar Pradesh,Noida,Home Appliances,Microwave,4,11881.7,0.1,42774.12,5161.16
ORD-0042,2025-11-26,1168,Customer 1168,West,Maharashtra,Mumbai,Technology,Mouse,3,674.11,0.0,2022.33,156.55
ORD-0043,2025-09-21,1090,Customer 1090,West,Rajasthan,Jaipur,Office Supplies,Printer Paper,5,587.95,0.0,2939.75,574.22
ORD-0044,2025-08-05,1075,Customer 1075,North,Punjab,Amritsar,Home Appliances,Microwave,5,17675.81,0.1,79541.14,9026.64
ORD-0045,2025-04-06,1036,Customer 1036,West,Goa,Panaji,Office Supplies,Notebook,5,144.42,0.1,649.89,119.35
ORD-0046,2025-08-05,1112,Customer 1112,North,Punjab,Ludhiana,Furniture,Office Chair,5,16746.28,0.05,79544.83,2047.13
ORD-0047,2025-08-11,1206,Customer 1206,West,Goa,Panaji,Home Appliances,Blender,4,5367.19,0.1,19321.88,2492.36
ORD-0048,2025-05-24,1151,Customer 1151,West,Maharashtra,Mumbai,Technology,Mouse,1,558.85,0.15,475.02,92.88
ORD-0049,2025-11-27,1235,Customer 1235,West,Rajasthan,Jaipur,Furniture,Filing Cabinet,2,13717.87,0.1,24692.17,4345.3
ORD-0050,2025-10-10,1137,Customer 1137,East,Odisha,Bhubaneswar,Furniture,Filing Cabinet,2,6319.44,0.1,11374.99,895.54
ORD-0051,2025-11-23,1145,Customer 1145,South,Telangana,Hyderabad,Technology,Laptop,1,68675.55,0.05,65241.77,10974.05
ORD-0052,2025-05-06,1039,Customer 1039,South,Tamil Nadu,Chennai,Home Appliances,Electric Kettle,3,1783.47,0.05,5082.89,677.17
ORD-0053,2025-12-14,1001,Customer 1001,West,Maharashtra,Nagpur,Home Appliances,Vacuum Cleaner,1,8748.71,0.05,8311.27,1723.79
ORD-0054,2025-06-22,1160,Customer 1160,East,West Bengal,Kolkata,Furniture,Desk,5,11840.3,0.0,59201.5,11228.82
ORD-0055,2025-02-16,1185,Customer 1185,West,Goa,Panaji,Home Appliances,Electric Kettle,1,1698.66,0.05,1613.73,341.1
ORD-0056,2025-08-12,1074,Customer 1074,West,Goa,Panaji,Office Supplies,Notebook,4,108.82,0.05,413.52,26.74
ORD-0057,2025-08-08,1028,Customer 1028,East,Odisha,Bhubaneswar,Home Appliances,Microwave,5,17743.95,0.2,70975.8,11656.02
ORD-0058,2025-08-28,1220,Customer 1220,East,West Bengal,Kolkata,Technology,Headphones,5,1972.47,0.0,9862.35,2097.03
ORD-0059,2025-08-30,1030,Customer 1030,South,Tamil Nadu,Coimbatore,Technology,Laptop,3,46808.75,0.0,140426.25,13388.42
ORD-0060,2025-08-05,1063,Customer 1063,West,Maharashtra,Pune,Home Appliances,Blender,3,6710.59,0.15,17112.0,2186.43
ORD-0061,2025-07-16,1006,Customer 1006,East,Bihar,Patna,Technology,Headphones,5,6980.49,0.1,31412.2,5045.65
ORD-0062,2025-01-01,1078,Customer 1078,North,Delhi,New Delhi,Furniture,Bookshelf,3,6197.85,0.0,18593.55,3491.86
ORD-0063,2025-06-03,1039,Customer 1039,West,Goa,Panaji,Furniture,Table Lamp,2,1896.71,0.1,3414.08,408.13
ORD-0064,2025-04-22,1057,Customer 1057,North,Punjab,Ludhiana,Furniture,Table Lamp,5,2126.71,0.1,9570.2,888.87
ORD-0065,2025-10-13,1082,Customer 1082,South,Tamil Nadu,Coimbatore,Home Appliances,Microwave,3,8910.02,0.1,24057.05,3380.11
ORD-0066,2025-03-22,1051,Customer 1051,South,Karnataka,Mysuru,Office Supplies,Stapler,5,382.84,0.05,1818.49,328.82
ORD-0067,2025-07-24,1194,Customer 1194,South,Tamil Nadu,Chennai,Home Appliances,Vacuum Cleaner,3,10796.5,0.05,30770.02,4255.58
ORD-0068,2025-12-26,1008,Customer 1008,South,Telangana,Hyderabad,Home Appliances,Electric Kettle,4,1995.03,0.15,6783.1,804.55
ORD-0069,2025-01-05,1021,Customer 1021,South,Karnataka,Bengaluru,Furniture,Filing Cabinet,2,7507.31,0.0,15014.62,1068.16
ORD-0070,2025-03-19,1177,Customer 1177,South,Tamil Nadu,Coimbatore,Technology,Mouse,2,1366.55,0.0,2733.1,488.62
ORD-0071,2025-12-03,1061,Customer 1061,West,Goa,Panaji,Office Supplies,Pen Set,2,447.32,0.0,894.64,114.57
ORD-0072,2025-08-04,1078,Customer 1078,East,Bihar,Patna,Office Supplies,Printer Paper,2,548.99,0.0,1097.98,84.44
ORD-0073,2025-10-01,1237,Customer 1237,West,Goa,Panaji,Office Supplies,Pen Set,2,241.66,0.05,459.15,22.67
ORD-0074,2025-03-27,1231,Customer 1231,West,Maharashtra,Mumbai,Home Appliances,Microwave,2,13353.36,0.0,26706.72,2744.6
ORD-0075,2025-04-21,1146,Customer 1146,North,Delhi,New Delhi,Furniture,Bookshelf,4,8296.85,0.1,29868.66,5284.15
ORD-0076,2025-06-29,1006,Customer 1006,North,Delhi,New Delhi,Office Supplies,Printer Paper,2,493.02,0.0,986.04,134.57
ORD-0077,2025-03-11,1198,Customer 1198,North,Punjab,Amritsar,Technology,Laptop,4,79032.7,0.0,316130.8,64120.66
ORD-0078,2025-02-05,1229,Customer 1229,West,Rajasthan,Udaipur,Technology,Keyboard,2,1736.8,0.15,2952.56,64.81
ORD-0079,2025-07-22,1079,Customer 1079,South,Kerala,Thiruvananthapuram,Furniture,Bookshelf,2,6239.83,0.1,11231.69,906.63
ORD-0080,2025-02-16,1140,Customer 1140,North,Uttar Pradesh,Lucknow,Office Supplies,Stapler,1,321.5,0.05,305.42,48.39
ORD-0081,2025-06-27,1134,Customer 1134,West,Rajasthan,Jaipur,Home Appliances,Vacuum Cleaner,2,10486.03,0.1,18874.85,1301.02
ORD-0082,2025-09-22,1017,Customer 1017,West,Maharashtra,Mumbai,Home Appliances,Blender,3,4865.83,0.1,13137.74,2610.52
ORD-0083,2025-05-17,1078,Customer 1078,East,Odisha,Bhubaneswar,Technology,Mouse,2,653.73,0.0,1307.46,222.82
ORD-0084,2025-08-17,1105,Customer 1105,East,Bihar,Patna,Home Appliances,Vacuum Cleaner,4,6636.56,0.0,26546.24,4778.74
ORD-0085,2025-03-30,1042,Customer 1042,North,Delhi,New Delhi,Furniture,Table Lamp,2,2578.18,0.05,4898.54,535.62
ORD-0086,2025-06-02,1225,Customer 1225,West,Rajasthan,Jaipur,Furniture,Office Chair,1,16794.89,0.05,15955.15,1939.84
ORD-0087,2025-06-28,1135,Customer 1135,South,Tamil Nadu,Chennai,Office Supplies,Pen Set,2,155.71,0.1,280.28,42.12
ORD-0088,2025-04-07,1038,Customer 1038,East,West Bengal,Kolkata,Office Supplies,Pen Set,5,199.4,0.1,897.3,38.8
ORD-0089,2025-10-21,1118,Customer 1118,West,Gujarat,Ahmedabad,Furniture,Filing Cabinet,5,5995.69,0.15,25481.68,1708.71
ORD-0090,2025-06-22,1076,Customer 1076,North,Haryana,Faridabad,Technology,Headphones,2,1270.78,0.1,2287.4,304.55
ORD-0091,2025-12-26,1074,Customer 1074,East,Bihar,Patna,Office Supplies,File Folder,2,172.62,0.0,345.24,50.16
ORD-0092,2025-06-20,1060,Customer 1060,West,Goa,Panaji,Technology,Laptop,4,49088.51,0.15,166900.93,33596.21
ORD-0093,2025-02-20,1122,Customer 1122,North,Uttar Pradesh,Lucknow,Office Supplies,Printer Paper,5,291.7,0.15,1239.72,271.51
